number,name,email,password
2024010001,student2024010001,2024010001@stu.com,2024010001
2024010002,student2024010002,2024010002@stu.com,2024010002
2024010003,student2024010003,2024010003@stu.com,2024010003
2024010004,student2024010004,2024010004@stu.com,2024010004
2024010005,student2024010005,2024010005@stu.com,2024010005
2024010006,student2024010006,2024010006@stu.com,2024010006
2024010007,student2024010007,2024010007@stu.com,2024010007
2024010008,student2024010008,2024010008@stu.com,2024010008
2024010009,student2024010009,2024010009@stu.com,2024010009
2024010010,student2024010010,2024010010@stu.com,2024010010
2024010011,student2024010011,2024010011@stu.com,2024010011
2024010012,student2024010012,2024010012@stu.com,2024010012
2024010013,student2024010013,2024010013@stu.com,2024010013
2024010014,student2024010014,2024010014@stu.com,2024010014
2024010015,student2024010015,2024010015@stu.com,2024010015
2024010016,student2024010016,2024010016@stu.com,2024010016
2024010017,student2024010017,2024010017@stu.com,2024010017
2024010018,student2024010018,2024010018@stu.com,2024010018
2024010019,student2024010019,2024010019@stu.com,2024010019
2024010020,student2024010020,2024010020@stu.com,2024010020
2024010021,student2024010021,2024010021@stu.com,2024010021
2024010022,student2024010022,2024010022@stu.com,2024010022
2024010023,student2024010023,2024010023@stu.com,2024010023
2024010024,student2024010024,2024010024@stu.com,2024010024
2024010025,student2024010025,2024010025@stu.com,2024010025
2024010026,student2024010026,2024010026@stu.com,2024010026
2024010027,student2024010027,2024010027@stu.com,2024010027
2024010028,student2024010028,2024010028@stu.com,2024010028
2024010029,student2024010029,2024010029@stu.com,2024010029
2024010030,student2024010030,2024010030@stu.com,2024010030
2024010031,student2024010031,2024010031@stu.com,2024010031
2024010032,student2024010032,2024010032@stu.com,2024010032
2024010033,student2024010033,2024010033@stu.com,2024010033
2024010034,student2024010034,2024010034@stu.com,2024010034
2024010035,student2024010035,2024010035@stu.com,2024010035
2024010036,student2024010036,2024010036@stu.com,2024010036
2024010037,student2024010037,2024010037@stu.com,2024010037
2024010038,student2024010038,2024010038@stu.com,2024010038
2024010039,student2024010039,2024010039@stu.com,2024010039
2024010040,student2024010040,2024010040@stu.com,2024010040
2024010041,student2024010041,2024010041@stu.com,2024010041
2024010042,student2024010042,2024010042@stu.com,2024010042
2024010043,student2024010043,2024010043@stu.com,2024010043
2024010044,student2024010044,2024010044@stu.com,2024010044
2024010045,student2024010045,2024010045@stu.com,2024010045
2024010046,student2024010046,2024010046@stu.com,2024010046
2024010047,student2024010047,2024010047@stu.com,2024010047
2024010048,student2024010048,2024010048@stu.com,2024010048
2024010049,student2024010049,2024010049@stu.com,2024010049
2024010050,student2024010050,2024010050@stu.com,2024010050
2024010051,student2024010051,2024010051@stu.com,2024010051
2024010052,student2024010052,2024010052@stu.com,2024010052
2024010053,student2024010053,2024010053@stu.com,2024010053
2024010054,student2024010054,2024010054@stu.com,2024010054
2024010055,student2024010055,2024010055@stu.com,2024010055
2024010056,student2024010056,2024010056@stu.com,2024010056
2024010057,student2024010057,2024010057@stu.com,2024010057
2024010058,student2024010058,2024010058@stu.com,2024010058
2024010059,student2024010059,2024010059@stu.com,2024010059
2024010060,student2024010060,2024010060@stu.com,2024010060
2024010061,student2024010061,2024010061@stu.com,2024010061
2024010062,student2024010062,2024010062@stu.com,2024010062
2024010063,student2024010063,2024010063@stu.com,2024010063
2024010064,student2024010064,2024010064@stu.com,2024010064
2024010065,student2024010065,2024010065@stu.com,2024010065
2024010066,student2024010066,2024010066@stu.com,2024010066
2024010067,student2024010067,2024010067@stu.com,2024010067
2024010068,student2024010068,2024010068@stu.com,2024010068
2024010069,student2024010069,2024010069@stu.com,2024010069
2024010070,student2024010070,2024010070@stu.com,2024010070
2024010071,student2024010071,2024010071@stu.com,2024010071
2024010072,student2024010072,2024010072@stu.com,2024010072
2024010073,student2024010073,2024010073@stu.com,2024010073
2024010074,student2024010074,2024010074@stu.com,2024010074
2024010075,student2024010075,2024010075@stu.com,2024010075
2024010076,student2024010076,2024010076@stu.com,2024010076
2024010077,student2024010077,2024010077@stu.com,2024010077
2024010078,student2024010078,2024010078@stu.com,2024010078
2024010079,student2024010079,2024010079@stu.com,2024010079
2024010080,student2024010080,2024010080@stu.com,2024010080
2024010081,student2024010081,2024010081@stu.com,2024010081
2024010082,student2024010082,2024010082@stu.com,2024010082
2024010083,student2024010083,2024010083@stu.com,2024010083
2024010084,student2024010084,2024010084@stu.com,2024010084
2024010085,student2024010085,2024010085@stu.com,2024010085
2024010086,student2024010086,2024010086@stu.com,2024010086
2024010087,student2024010087,2024010087@stu.com,2024010087
2024010088,student2024010088,2024010088@stu.com,2024010088
2024010089,student2024010089,2024010089@stu.com,2024010089
2024010090,student2024010090,2024010090@stu.com,2024010090
2024010091,student2024010091,2024010091@stu.com,2024010091
2024010092,student2024010092,2024010092@stu.com,2024010092
2024010093,student2024010093,2024010093@stu.com,2024010093
